Comment,Description,Designator,Footprint,LibRef,Quantity,Manufacturer Part Number 1,Manufacturer_Part_Number,Manufacturer Part Number

"","Cap Ceramic 2.2uF 6.3V X7R 10% SMD 0603 125C Paper T/R","C7, C8","CAPC1608X90N","CGA3E1X7R0J225K080AC","2","","","CGA3E1X7R0J225K080AC"
"","Connector Header, PH Series, 2 Position, 2.00mm, Through Hole, Press-Fit, Solder, Natural","BATT, Latch0","JST_B2B-PH-K-S(LF)(SN)","B2B-PH-K-S(LF)(SN)","2","","","B2BPHKSLFSN"
"","CREE - QLS6B-FKW-CNSNSF043 - FULL RANK, TAPE&REEL 07AH1280","D1","LED_QLS6B-FKW-CNSNSF043","QLS6B-FKW-CNSNSF043","1","","","QLS6B-FKW-CNSNSF043"
"","LDO Regulator Pos 3.3V 0.5A 6-Pin TDFN EP T/R","U1","SON40P120X120X60-7N","MIC5528-3.3YMT-TR","1","MIC5528-3.3YMTTR","","MIC5528-3.3YMT-TR"
"","MCP73831 Series Single-Cell Li-Ion/Li-Polymer Battery Charge Controller SOT-23-5","J2","SOT95P280X145-5N","MCP73831T-2ACI/OT","1","","","MCP73831T-2ACI/OT"
"","RES 10K OHM 5% 1/16W 0402","R8","RESC1005X40","RMCF0402JT10K0","1","","","RMCF0402JT10K0"
"","Switch Slide ON None ON SPDT Side Slide 6A 250VAC 28VDC PC Pins Bracket Mount/Through Hole","S2","1101M2S3ABE2","1101M2S3AQE2","1","","","1101M2S3AQE2"
"","USB Connector with 1.90mm shell stake length","J1","GCT_USB4125-GF-A_REVA2","USB4125-GF-A_REVA2","1","","","USB4125-GF-A-0190"
"1kR","RES 1K OHM 1% 1/16W 0402","R2","RESC1005X35N","RMCF0402FT100R","1","","","RMCF0402FT1K00"
"1uF","Cap Ceramic 1uF 10V X5R 10% Pad SMD 0402 85°C T/R","C4","CAPC1005X55N","LMK105BJ105KV-F","1","LMK105BJ105KV-F","","LMK105BJ105KV-F"
"4.7kR","Res Thick Film 0402 4.7K Ohm 5% 1/16W 100ppm/C Molded SMD SMD Paper T/R","R6, R7","RESC1005X40","RMCF0402JT4K70","2","","","RMCF0402JT4K70"
"10kR","RES 10K OHM 5% 1/16W 0402","R3, R4, R5","RESC1005X40","RMCF0402JT10K0","3","","","RMCF0402JT10K0"
"10uF","MURATA - GRM21BR61E106MA73L - SMD Multilayer Ceramic Capacitor, 10 µF, 25 V, 0805 [2012 Metric], ± 20%, X5R, GRM Series","C3","CAPC2012X140N","GRM21BR61E106MA73L","1","","","GRM21BR61E106MA73L"
"20pF","CAP CER 20PF 50V C0G/NP0 0402","C5, C6","CAPC1005X55N","GRM1555C1H200JA01D","2","","","GRM1555C1H200JA01D"
"24MHz","MURATA - XRCGB24M000F0L00R0 - QUARZRESONATOR, 24MHZ, 150PPM","Y1","OSC_XRCGB24M000F0L00R0","XRCGB24M000F0L00R0","1","","","XRCGB24M000F0L00R0"
"100nF","Prices include import duty and tax. CAP, 0.1UF, 25V, MLCC, 0402; SVHC: No SVHC (15-Jan-2019)","C1, C2","CAPC1005X55N","CL05A104KA5NNNC","2","","","CL05A104KA5NNNC"
"100R","RES 100 OHM 1% 1/16W 0402","R1","RESC1005X35N","RMCF0402FT100R","1","","","RMCF0402FT100R"
"180R","SMD Chip Resistor, 0402 [1005 Metric], 180 ohm, CRGCQ Series, 50 V, Thick Film, 63 mW","R9, R10","RESC1005X40","RMCF0402JT10K0_1","2","","","CRGCQ0402F180R"
"850mR","FERRITE BEAD 1 KOHM 0603 1 LN","FB1, FB2","0603","Inductor","2","","","BLM18BD102BH1D"
"67997-410HLF","Conn Unshrouded Header HDR 10 POS 2.54mm Solder ST Top Entry Thru-Hole BergStik® Bulk","P1","HDR2X5","Header 5X2","1","","","67997-410HLF"
"B2B-PH-K-S(LF)(SN)","Connector Header, PH Series, 2 Position, 2.00mm, Through Hole, Press-Fit, Solder, Natural","Latch1, Latch2, Latch3, Latch4, Latch5, Latch6, Latch7, Latch8, Latch9, Latchadd, Latchdiv, Latchmul, Latchsub","JST_B2B-PH-K-S(LF)(SN)","B2B-PH-K-S(LF)(SN)","13","","","B2BPHKSLFSN"
"CMT-0904-83T","","LS1","XDCR_CMT-0904-83T","CMT-0904-83T","1","","","CMT-0904-83T"
"NUC029TAN","Integrated Circuit","IC1","QFN40P400X400X80-33N","NUC029TAN","1","","","NUC029TAN"
"SSQ-104-02-T-S-RA","Conn Socket Strip SKT 4 POS 2.54mm Solder RA Thru-Hole Bulk","LCD1","SAMTEC_SSQ-104-02-T-S-RA","SSQ-104-02-T-S-RA","1","","","SSQ-104-02-T-S-RA"
"TL3315NF100Q","E-SWITCH - TL3315NF100Q - SWITCH, TACTILE, SPST, 50mA, 15VDC","S1","SW_TL3315NF100Q","TL3315NF100Q","1","","","TL3315NF100Q"
"PMBT3904,215","Transistor BJT NPN","Q1","SOT95P230X110-3N","PMBT3904,215","1","","PMBT3904,215","CMT-0904-83T"
